2017-04-06 22:44:34,975 [Worker-31] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: CakeFactory-DP:CakeFactory-DP:0.0.1-SNAPSHOT @ D:\DesignPatterns\CakeFactory-DP\pom.xml.
2017-04-06 22:44:39,672 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 22:44:39,728 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\DesignPatterns\CakeFactory-DP\src\main\resources
2017-04-06 22:44:39,732 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 22:44:39,744 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\DesignPatterns\CakeFactory-DP\src\test\resources
2017-04-06 22:44:39,827 [Worker-31] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /CakeFactory-DP/src
2017-04-06 22:44:39,830 [Worker-31] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /CakeFactory-DP/src/test/java because it overlaps with /CakeFactory-DP/src
2017-04-06 22:44:40,560 [Worker-31] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-04-06 22:44:41,625 [Worker-31] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: CakeFactory-DP:CakeFactory-DP:0.0.1-SNAPSHOT @ D:\DesignPatterns\CakeFactory-DP\pom.xml.
2017-04-06 22:44:42,304 [Worker-31] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /CakeFactory-DP/src
2017-04-06 22:44:42,305 [Worker-31] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /CakeFactory-DP/src/test/java because it overlaps with /CakeFactory-DP/src
2017-04-06 22:44:42,694 [Worker-31] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2017-04-06 22:44:42,940 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 22:44:42,957 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\DesignPatterns\CakeFactory-DP\src\main\resources
2017-04-06 22:44:42,961 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 22:44:42,973 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\DesignPatterns\CakeFactory-DP\src\test\resources
2017-04-06 22:44:47,104 [Worker-38] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\DesignPatterns\CakeFactory-DP
2017-04-06 22:44:47,105 [Worker-38] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2017-04-06 22:44:51,433 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 22:44:51,482 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\DesignPatterns\CakeFactory-DP\src\main\resources
2017-04-06 22:44:51,485 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 22:44:51,491 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\DesignPatterns\CakeFactory-DP\src\test\resources
2017-04-06 22:44:58,186 [Worker-43] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\DesignPatterns\CakeFactory-DP
2017-04-06 22:44:58,186 [Worker-43] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2017-04-06 22:45:04,412 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
